2023-06-02 	 20:36:45 	 GET	 undefined	 /api 
2023-06-02 	 20:36:46 	 GET	 undefined	 /api 
2023-06-02 	 20:36:59 	 GET	 undefined	 / 
2023-06-02 	 20:37:03 	 GET	 undefined	 /routes 
2023-06-02 	 20:42:31 	 POST	 undefined	 /api/user/register 
2023-06-02 	 20:43:32 	 POST	 undefined	 /api/user/register 
2023-06-02 	 20:44:25 	 POST	 undefined	 /api/user/register 
2023-06-02 	 20:45:30 	 POST	 undefined	 /api/user/register 
2023-06-02 	 20:46:09 	 POST	 undefined	 /api/user/login 
2023-06-02 	 21:05:28 	 POST	 undefined	 /api/user/register 
2023-06-02 	 21:05:31 	 POST	 undefined	 /api/user/login 
2023-06-02 	 21:12:23 	 POST	 undefined	 /api/user/register 
2023-06-02 	 21:26:21 	 GET	 undefined	 /api/service/all-drivers 
2023-06-02 	 21:26:26 	 POST	 undefined	 /api/user/login 
2023-06-02 	 21:26:42 	 GET	 undefined	 /api/service/all-drivers 
2023-06-02 	 21:30:09 	 POST	 undefined	 /api/user/login 
2023-06-02 	 21:30:49 	 GET	 undefined	 /api/service/all-drivers 
2023-06-02 	 21:35:48 	 POST	 undefined	 /api/user/login 
2023-06-02 	 21:36:26 	 GET	 undefined	 /api/service/all-drivers 
2023-06-02 	 21:44:13 	 POST	 undefined	 /api/service/all-drivers/rides 
2023-06-02 	 21:44:25 	 POST	 undefined	 /api/service/rides 
2023-06-02 	 21:45:17 	 POST	 undefined	 /api/service/rides 
2023-06-02 	 21:47:23 	 GET	 undefined	 /api/service/rides?userId=647a4b88e52841ebaa9cdd86 
2023-06-02 	 21:50:18 	 GET	 undefined	 /api/service/rides?userId=647a4b88e52841ebaa9cdd86 
2023-06-02 	 21:50:29 	 GET	 undefined	 /api/service/rides 
2023-06-02 	 21:51:13 	 GET	 undefined	 /api/service/rides 
2023-06-02 	 21:52:33 	 GET	 undefined	 /api/service/rides 
2023-06-02 	 21:56:35 	 GET	 undefined	 /api/service/rides 
2023-06-02 	 21:57:52 	 GET	 undefined	 /api/service/rides 
